Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Weight,Sales
FDP44,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,16,101
FDU38,Low Fat,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,11,191
FDU14,Low Fat,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,18,250
NCB18,Low Fat,Household,2011,OUT010,Tier 3,High,Grocery Store,20,90
FDL33,Low Fat,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,7,198
FDQ31,Regular,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,6,90
NCT17,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,11,187
DRE27,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,12,97
NCZ29,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,15,126
FDB36,Regular,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,5,131
FDU02,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,13,231
NCW17,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,129
NCQ54,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,168
FDX32,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,143
FDQ28,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14,155
DRK37,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,5,189
FDS58,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,9,159
FDS28,Regular,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,57
FDD50,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,171
FDT31,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,188
NCK29,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,125
NCA41,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,17,192
NCQ30,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,123
NCU42,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,170
NCN43,Low Fat,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,124
FDY49,Regular,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,17,167
FDJ44,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,176
FDZ21,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,18,95
FDY59,Low Fat,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,8,94
FDM24,Regular,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,6,153
FDH44,Regular,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,19,146
FDX50,Low Fat,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,20,111
FDW47,Low Fat,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,15,124
NCA29,Low Fat,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,10,171
FDL43,Low Fat,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,10,76
FDE17,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,20,151
FDF45,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,18,60
FDG14,Regular,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,151
FDT40,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6,125
DRM47,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,9,193
NCH29,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,6,97
NCZ42,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,10,236
FDC59,Regular,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,17,66
FDC26,Low Fat,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,10,111
FDD38,Regular,Canned,2011,OUT010,Tier 3,High,Grocery Store,17,100
NCI43,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,20,47
NCP53,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,237
NCQ41,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,194
NCO54,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,20,57
FDQ46,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,112
FDK46,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,258
DRL60,Low Fat,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,151
FDL25,Regular,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,91
FDC29,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,114
FDC29,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,8,114
FDJ38,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,9,190
FDK44,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,17,173
FDZ32,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,103
DRE60,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,9,225
FDB17,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,13,181
FDU52,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,8,157
NCQ50,Low Fat,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,19,212
FDG38,Regular,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,9,83
FDK15,Low Fat,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,98
NCL19,Low Fat,Others,2014,OUT013,Tier 3,High,Supermarket Type1,15,144
FDO10,Regular,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,56
DRK35,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,8,36
FDB34,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,85
FDT49,Low Fat,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,7,106
FDC26,Low Fat,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,111
FDI26,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,177
FDI15,Low Fat,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,264
FDA14,Low Fat,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,145
FDG53,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,138
FDS40,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,38
FDP32,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,127
FDS55,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,147
NCC42,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,141
NCX41,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,211
FDP39,Low Fat,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,13,52
FDR33,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,108
FDI60,Regular,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,62
FDH60,Regular,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,194
FDY01,Regular,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,114
FDS02,Regular,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,196
FDS15,Regular,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,107
FDT15,Regular,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,184
FDY34,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,164
FDU45,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,112
FDS34,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,114
DRG15,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,6,62
DRK39,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,7,83
DRH15,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,9,42
FDC56,Low Fat,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,8,118
FDD09,Low Fat,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,14,181
DRF23,Low Fat,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,5,174
DRJ59,Low Fat,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,12,41
NCY06,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,15,132
FDY11,Regular,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,7,66
FDZ49,Regular,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,11,218
FDA51,Regular,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,8,112
FDT14,Regular,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,11,121
FDV16,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,8,35
FDR19,Regular,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,14,148
FDQ27,Regular,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,5,103
FDK58,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,11,102
FDG22,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,18,35
NCU54,Low Fat,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,210
NCQ17,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,10,154
FDF17,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,5,198
FDT43,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,16,53
NCN05,Low Fat,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,8,184
NCS30,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6,129
NCH30,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,17,115
FDF33,Low Fat,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,8,106
FDQ09,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,7,115
FDW34,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,10,245
FDY45,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,18,253
FDI26,Low Fat,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,6,176
FDX40,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,13,40
FDR08,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,19,111
NCW53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,18,193
NCX30,Low Fat,Household,2020,OUT017,Tier 2,High,Supermarket Type1,17,246
FDU34,Low Fat,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,18,124
DRI37,Low Fat,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,16,58
FDZ23,Regular,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,18,188
FDV26,Regular,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,20,197
FDR52,Regular,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,13,191
FDT07,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,6,255
FDF44,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,7,129
FDR19,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,14,145
FDF57,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,14,169
FDI21,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,6,63
FDS58,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,9,161
FDX49,Regular,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,5,234
FDM02,Regular,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,12,89
FDK03,Regular,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,13,256
FDG41,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9,112
FDW43,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,20,227
FDC10,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,10,121
DRB48,Regular,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,17,37
DRF01,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,6,147
FDS48,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,15,152
FDS23,Low Fat,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,5,126
FDV35,Low Fat,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,20,156
DRF27,Low Fat,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,9,152
FDV14,Low Fat,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,20,89
FDQ20,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,8,39
FDT43,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,16,50
DRN35,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,8,35
NCF07,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,9,100
FDL45,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,124
FDL34,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,141
FDR09,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,18,260
DRN36,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,15,95
FDM50,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,13,62
FDA26,Regular,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,8,218
FDS04,Regular,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,10,139
FDS16,Regular,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,15,147
FDB29,Regular,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,17,115
FDZ43,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,11,240
FDE56,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,17,63
FDU20,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,19,120
FDD23,Regular,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,10,188
FDX24,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,8,93
FDH44,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,19,148
NCL53,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,8,177
FDU35,Low Fat,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,6,98
DRI01,Low Fat,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,8,172
FDE05,Regular,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,11,146
FDJ48,Low Fat,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,11,245
FDT49,Low Fat,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,7,107
FDA38,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,5,241
FDM20,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,10,245
NCF31,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9,150
NCC06,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,19,130
NCB43,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,20,187
FDB47,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,9,209
FDX58,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,13,183
FDJ14,Regular,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,10,80
FDA40,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,16,89
FDN46,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,7,101
FDG34,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,12,107
FDX57,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,17,95
FDE29,Low Fat,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,60
NCX05,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,114
FDF59,Low Fat,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,125
FDR35,Low Fat,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,198
FDS52,Low Fat,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,103
FDD05,Low Fat,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,19,119
DRF23,Low Fat,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,5,175
DRK59,Low Fat,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,234
NCO29,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,11,164
NCM29,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,133
NCZ41,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,20,126
NCS06,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,261
NCF42,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,176
FDH58,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,116
FDN57,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,142
FDQ48,Regular,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,14,98
FDF26,Regular,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,155
FDX38,Regular,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,48
FDP52,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,19,230
FDK20,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,13,122
FDS44,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,13,239
FDD32,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,81
FDW51,Regular,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,6,213
FDP21,Regular,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,189
NCI17,Low Fat,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,95
FDV38,Low Fat,Dairy,2011,OUT010,Tier 3,Small,Grocery Store,19,56
DRJ24,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,12,186
FDQ31,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,87
FDC34,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,155
FDD04,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,16,143
DRF13,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,12,147
DRM48,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,15,36
DRM35,Low Fat,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,10,177
NCS38,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,9,114
DRG37,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,16,154
FDN56,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,5,144
FDY57,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,20,95
FDB27,Low Fat,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,8,198
FDT32,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,19,187
FDR21,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,20,174
FDD04,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,16,143
DRL23,Low Fat,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,18,106
FDE05,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,11,148
NCF19,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,13,48
FDO39,Regular,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,185
NCR18,Low Fat,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,16,43
DRD13,Low Fat,Soft Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,15,63
FDI35,Low Fat,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,14,181
DRD37,Low Fat,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,47
FDQ09,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,115
FDX46,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,12,57
FDO19,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,48
FDP38,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,51
FDT21,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,249
FDR11,Regular,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,159
FDE33,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,78
NCT17,Low Fat,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,11,190
FDA58,Low Fat,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,9,236
DRA12,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,12,142
FDL16,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,13,46
FDV43,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,16,45
FDX12,Regular,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,18,239
FDK20,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,13,122
FDR48,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,12,153
FDT46,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,11,52
FDN38,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,7,251
FDB40,Regular,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,18,144
FDO56,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,10,116
FDY47,Regular,Breads,2011,OUT010,Tier 3,High,Grocery Store,9,130
FDG46,Regular,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,9,115
NCM41,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,16,93
NCD07,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,9,115
DRG25,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,10,186
FDB03,Regular,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,18,241
FDH40,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,12,83
FDX56,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,17,207
FDV23,Low Fat,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,11,123
FDD20,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,14,124
DRF37,Low Fat,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,263
FDZ59,Regular,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,167
FDF39,Regular,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,262
FDL52,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,37
FDY47,Regular,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,129
NCO17,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,10,118
DRB01,Low Fat,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,188
FDS24,Regular,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,21,88
NCG07,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,12,191
DRK39,Low Fat,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,7,84
NCH42,Low Fat,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,7,231
FDH24,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,21,157
DRI47,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,15,142
FDR55,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,12,188
FDX13,Low Fat,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,8,248
FDK52,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,18,224
NCR17,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,10,114
NCX05,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,15,116
NCC31,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,8,158
DRF01,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,6,145
FDR07,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,21,96
NCM30,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,19,43
FDT15,Regular,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,182
FDW22,Regular,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,221
FDC02,Low Fat,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,21,260
FDA01,Regular,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,15,59
DRN47,Low Fat,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,181
FDK08,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,100
FDF34,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,199
FDR60,Low Fat,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,14,76
FDL52,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,7,37
